NR_ZONA,NR_SECAO,NR_LOCAL_VOTACAO,NM_UE,endereco_geocode,lat,lng
274,152,1198,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,193,1260,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,99,1368,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,191,1155,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,113,1112,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,51,1082,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,560,2380,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,82,1198,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,548,2372,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,779,2062,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,337,1376,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,176,1198,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,128,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,120,1090,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,273,1236,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,244,1155,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,310,1384,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,130,1201,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,351,1236,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,610,1856,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,14,1040,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,562,2380,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,421,1180,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,625,1929,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,1,1333,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,401,1023,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,455,1171,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,75,1120,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,492,2321,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,42,1074,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,121,1317,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,396,1074,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,31,1058,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,698,1961,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,283,1368,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,626,1988,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,165,1201,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,355,1295,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,549,1929,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,19,1058,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,510,1570,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,313,1376,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,257,1309,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,35,1031,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,497,1198,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,289,1066,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,45,1074,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,353,1422,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,363,1422,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,344,1422,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,121,1090,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,131,1201,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,577,2410,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,565,1554,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,233,1147,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,541,2364,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,164,1171,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,533,1880,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,502,1872,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,25,1120,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,199,1406,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,192,1317,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,304,1163,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,85,1147,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,38,1031,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,554,1287,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,184,1201,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,173,1171,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,248,1155,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,245,1252,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,267,1180,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,621,1198,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,258,1309,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,202,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,239,1244,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,635,1856,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,190,1236,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,97,1112,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,236,1465,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,84,1198,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,273,1465,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,473,1538,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,245,1317,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,109,1180,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,628,2003,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,306,1457,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,27,1058,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,456,2291,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,361,1015,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,394,1015,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,77,1120,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,125,1325,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,305,1414,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,237,1430,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,157,1350,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,31,1120,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,248,1260,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,618,1856,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,18,1112,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,556,1538,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,47,1147,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,275,1392,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,412,1252,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,500,2330,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,490,2321,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,102,1104,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,330,1171,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,37,1040,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,675,1945,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,485,1309,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,652,1872,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,747,2020,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,73,1074,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,625,1686,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,560,1872,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,150,1171,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,240,1422,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,448,1830,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
380,27,1120,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,207,1333,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,248,1279,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,263,1309,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,251,1163,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,199,1325,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,334,1430,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,647,1899,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,470,1546,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,508,1570,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,354,1201,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,284,1201,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,466,2305,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,238,1015,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,258,1066,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,715,1988,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,16,1325,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,502,1180,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,114,1112,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,102,1112,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,179,1295,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,47,1058,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,34,1031,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,477,1554,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,109,1120,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,574,2410,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,530,2356,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,19,1023,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,84,1090,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,229,1350,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,99,1082,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,70,1074,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,758,2038,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,39,1040,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
275,311,1465,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,408,1171,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
274,561,1830,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
423,158,1155,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,301,1414,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,375,2151,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,20,1023,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
378,278,1287,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,65,1090,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
33,414,2259,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,393,1490,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,374,1406,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
379,322,1244,CAMPINAS,"Campinas, SP, Brasil",-22.9056391,-47.059564
